id,artist_id,release_id,artist_mbtags,artist_mbtags_count,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,hotttnesss,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,title,year
SOISIPQ12AB018C2AE,ARPZRFT12086C12690,770581,0,0,0.788,1.33182,0.742,0.42937,465.99791,0,0.212045406,1,0.584,-8.744,1,0.401,461.108,0.553,0.20234,133,4,0,0,0
SONWZEA12A6D4F9724,AROLNOH1187FB39845,47201,0,1,0.095,0.74858,1,0.1474,235.51955,0.081,-1,4,0.12,-9.356,1,0.082,218.877,0.982,0.1474,97.544,4,1,0,1993
SOUXGBA12A8C14002E,ARXOTQH1187FB57084,308016,0,0,0.067,1.39721,0.86,0.20913,177.89342,0.171,0.624061571,10,0.161,-7.098,0,0.332,161.176,0.775,0.0608,100.969,4,1,0,0
SOAGXBV12A6D4F70BD,ARPQ4Z01187FB3A736,27767,0,1,0.103,0.56778,0.843,0.08944,154.85342,0.38,0.715280106,2,0.023,-3.865,1,0.476,141.375,0.212,0.08944,122.125,4,0,0,1996
SOHRBUD12A8C13A769,ARUK0W21187B995456,300000,0,0,0.12,0.72987,0.677,0.35857,317.36118,0.618,0.239629098,2,1,-11.88,1,0.631,299.514,0,0.17292,163.922,4,0.7,0,1993
SOGLABR12A6D4F9585,ARQXR6R1187FB46FD6,38769,0,1,0.368,0.83859,0.359,0.83859,206.75873,2.101,0.372530039,2,0.723,-10.294,1,0.668,198.124,0.134,0.83859,191.226,4,0.958,0,1986
SOJUIEW12AC468957F,ARKJKVO1187FB49D0A,777840,0,0,0.138,0.29017,0.841,0.29017,212.13995,0.214,-1,7,0.55,-12.882,1,0.51,200.707,0.906,0.29017,109.974,3,0.51,0,2002
SOPGSMM12A8C139BF7,AR2BU3O1187B98EBDA,263928,0,0,0.105,1.85578,0.416,1.30061,114.99057,4.957,0,5,0.546,-9.831,1,0.289,109.209,0.126,1.02302,112.445,3,1,0,0
SOWNJYB12AB017D17B,ARHNXXY11F4C84236F,536984,0,0,0.019,0.38504,0.104,0.38504,244.24444,0,0,4,0.56,-12.652,0,0.256,231.59,0.635,0.38504,81.585,3,0.514,0,0
SOBSOLH12A58A7E673,ARWSMC91187B9AD369,460971,0,1,0.041,0.83873,0.438,0.37045,216.76363,0,0.367273416,3,0.64,-9.699,0,0.287,204.626,0.165,0.13518,142.004,4,0.32,0,0
SOUIWLO12AB017CBC2,ARIBTOJ11F4C83E8DD,485420,0,0,0.012,0.39801,0.757,0.39801,146.02404,0.073,0,7,0.177,-9.269,1,0.542,141.079,0.29,0.1258,122.358,4,1,0,0
SOJYNQE12AB0186EAB,ARNJVSL1187B99AFD4,718282,0,1,0.043,0.12899,1,0.12899,234.34404,0.334,0.460484845,1,0.735,-5.239,1,0.692,228.635,0.941,0.12899,124.992,4,0.781,0,2010
SODSOLK12AB018BB66,AR3DWG81187B98E3FA,767950,0,0,0,0.32355,0,0.32355,46.47138,0.322,0.392008772,1,0.494,-10.951,0,0.201,40.745,0.748,0.32355,95.147,1,0,0,2006
SOXKTIB12A8C14474A,ARNTTHK1187B98FF64,429824,0,0,0.228,1.55709,0.698,0.31444,213.52444,0.199,0.48456253,2,0.647,-4.85,1,0.595,197.782,0.234,0.16064,97.786,4,0,0,2008
SOOWXMG12A8C13D0A7,ARTC5DW1187B98FCF2,213506,0,1,0.04,0.81156,1,0.35783,348.55138,0,0.52252813,9,0.27,-7.881,1,0.215,348.551,0.98,0.13484,138.046,4,0,0,2003
SOENUXD12A8C139297,ARQSZLT124207825BA,209117,0,0,0.018,0.58107,0.667,0.13166,293.8771,2.218,-1,10,0,-5.019,0,0.225,280.805,0.271,0.13166,136.495,4,0.536,0,0
SOQMIMZ12AB018B499,ARHFIXK1187B99D6A9,709850,0,0,0.524,0.64163,0.524,0.64163,235.72853,0,0.387101737,0,0.399,-7.807,1,0.596,232.281,0.245,0.64163,145.26,1,0,0,0
SOAYZDX12A8C13B9C1,ARNUFGE1187B9B7881,209881,0,1,0.594,0.56525,0.877,0.05415,138.762,0.183,0.394394856,9,0.596,-6.863,1,0.594,131.506,0.359,0.05415,122.939,4,0.911,0,1963
SOPAWDU12A58A7CD4D,ARPU5CQ1187FB4469F,460919,0,0,0.099,2.34394,0.108,1.35764,233.37751,3.042,0,10,0.227,-14.751,1,0.498,226.575,0.108,1.35764,124.656,4,0.906,0,0
SODBFVM12AB0184A53,ARHRKTK1187B99E1D5,757437,0,1,0.192,1.49862,0.711,0.37029,160.78322,0,-1,5,0.19,-12.534,1,0.32,156.63,0.7,0.37029,108.248,3,0.819,0,1958
SOCJHME12A6D4F9867,AREJXK41187B9A4ACC,74859,0,0,0.062,1.07965,0,0.38253,255.65995,2.212,0.304169503,4,0.68,-12.924,0,0.642,240.849,0,0.03397,85.949,4,0.724,0,2003
SOKAGKK12A58A7FE14,ARIXB7T1187B9AB215,423728,0,1,0.111,1.2899,0.695,0.4281,208.16934,0.171,-1,1,0.623,-3.698,1,0.63,202.884,1,0.21291,140.029,4,0,0,0
SOFKJOV12A81C21C38,ARKO0JR1187FB4945A,131790,0,0,0.01,0.89274,0.367,0.44695,279.43138,9.056,-1,7,0.575,-11.554,1,0.648,267.738,0.063,0.22287,129.903,4,0.956,0,0
SOASBOZ12AB018DC23,AR00A6H1187FB5402A,581079,0,1,0.1,1.2805,0.482,0.19341,218.5922,2.403,-1,2,0.27,-7.257,1,0.381,213.653,0.189,0.19341,149.034,5,0.343,0,0
SOJTBGX12A6D4FBA6F,ARH0NCL1187B99B41A,64817,0,0,0.719,0.57289,0.719,0.57289,272.92689,0,0.43483809,8,0.426,-11.437,1,0.451,264.139,0.316,0.23091,105.069,1,0.686,0,2006
SOFNXUH12A8C13F06B,ARVLIVA1187B991590,609304,0,0,0.391,1.02458,0.085,0.51408,246.49098,0,0.413752422,2,0.534,-15.145,1,0.672,236.153,0,0.25883,122.174,4,0.817,0,2006
SOTVHNP12A8C1376BF,ARE2XN81187B98BB83,150319,0,0,0.345,1.10968,0.896,0.59574,167.28771,0,0.304169503,4,0.064,-9.885,0,0.217,162.244,0.664,0.3426,116.099,4,0.945,0,0
SONJMCI12AB018B16A,ARYO9BU1187B9ADA88,584871,0,4,0,0.65359,0,0.20051,454.16444,5.799,0.839908888,9,0.539,-10.321,1,0.375,443.461,0,0.20051,132.972,4,1,0,2009
SOJBGIS12AB017E349,ARPOV8N1187FB4D78F,384874,0,0,0.329,0.21353,0.737,0.21353,178.78159,0.148,-1,3,0.147,-9.625,0,0.237,173.848,0.82,0.21353,106.964,3,0.987,0,0
SOZNZMJ12A8AE492E6,AR3QRJ91187B98E4C2,280528,0,2,0,0.32063,0,0.32063,128.33914,3.437,-1,9,0.746,-8.573,1,0.53,122.346,0.129,0.10349,137.119,1,0,0,1968
SOGALHA12A6D4FD8C3,ARG8DXO1187B9AF743,270862,0,0,0.125,1.57709,0.245,0.57119,147.48689,0,0.443291312,9,0.581,-5.072,1,0.57,144.004,0.673,0.32866,120.697,4,0.454,0,2008
SODDXCD12A8C1339AB,AR3Q86S1187B9ADDCF,284637,0,1,0.009,0.86071,0.65,0.44409,397.76608,0,0.777596478,1,0.522,-9.314,1,0.485,397.766,0.404,0.2363,145.464,4,0,0,1992
SOATRKY12AB017FBC7,AR7KQQ91187B98ED7A,622234,0,0,0.874,0.07908,0.874,0.07908,211.90485,0.357,0.334706549,8,0.245,-16.794,0,0.278,196.661,0.145,0.07908,126.747,1,0,0,2002
SORPBRR12A8C13979C,ARXR2N11187B99857E,295416,0,0,0.03,0.60913,0.973,0.18679,200.33261,0.345,0.375984302,2,0.495,-4.522,1,0.472,187.699,0.303,0.18679,141.741,4,0.992,0,2003
SOWFTVP12AB0189B74,AREY1HI1187B98B395,464714,0,0,0.043,1.00485,0.767,0.262,232.98567,0.345,0.425304242,4,0.546,-4.297,0,0.554,219.086,0.415,0.07651,166.057,4,0.683,0,0
SONISVG12A8C13EB34,AR16GSC1187B9A6291,162755,0,2,1,0.27798,1,0.27798,427.36281,4.592,0.558997327,9,0.472,-6.991,0,0.328,423.985,1,0.03219,115.277,1,0,0,2007
SORIXFW12A58A77E7A,ARFSPOV1187B9B2363,190640,0,4,0.059,2.16597,1,0.28518,218.14812,0.473,0.645442546,11,0.136,-4.984,0,0.301,211.981,0.805,0.04846,126.805,5,1,0,1999
SOIJROX12AB0186787,ARE1N571187B98A47D,585535,0,0,0.095,1.19981,0,0.14318,207.85587,0,0.468997788,10,0.696,-5.534,0,0.618,207.856,0.074,0.14318,113.534,4,0.751,0,0
SOPYBNE12A8C1435C1,ARWVVVP1187FB52F31,374636,0,0,0.383,0.05834,0.956,0.05834,162.37669,0.218,0.585979766,4,0.621,-11.528,1,0.658,148.898,0,0.05834,69.222,3,0.403,0,2003
SOQAJMX12A8C131F1D,ARJNRA61187FB57724,817147,0,1,0.881,0.17527,0.881,0.17527,161.27955,0.363,0,11,0.543,-9.4,0,0.361,161.28,0.569,0.17527,139.913,1,0,0,1978
SOCOPFT12AB017FC06,ARWAPYC1187FB3FCAF,333103,0,1,0.069,0.90897,0.914,0.0905,320.02567,0.247,-1,0,0.706,-10.849,1,0.62,291.236,0.574,0.0905,147.983,4,0.056,0,2001
SOYACST12AB0182EDE,ARMAEYS1187B990F2F,491003,0,0,0.003,0.89627,0.855,0.28137,172.90404,0.223,-1,0,0.546,-7.971,1,0.519,167.277,1,0.28137,101.409,4,0.851,0,0
SOQLLHX12AF72A3586,ARQXC7V1187FB4DA9E,578452,0,1,1,0.55088,0.58,0.55088,293.66812,2.351,0.825232995,6,0.392,-5.21,0,0.783,284.648,0.175,0.20396,85.141,4,0.327,0,2001
SOFQHNI12AB018345A,AR035N21187FB3938E,627641,0,2,0.307,0.93434,0.964,0.38874,311.90159,0.373,0.457447167,8,0.879,-17.729,1,0.634,278.744,0.632,0.11527,110.002,4,0.69,0,2006
SOHAJBB12A8C145F43,AR8ZQ9T1187FB56FE5,615161,0,0,0.108,0.26261,0.036,0.26261,191.29424,0,0,7,0.349,-4.985,1,0.423,191.294,0.983,0.05825,151.036,4,0.363,0,0
SOIXWTG12AB01875CC,ARQCFI11187FB5AE43,663114,0,0,0.422,0.87247,1,0.48283,124.29016,0.194,0.266955186,9,0.438,-7.854,1,0.525,118.12,0.656,0.2885,158.955,3,0.486,0,0
SOKDGEX12A6D4F6537,AR7SF1N1187B9A91D1,26453,0,0,0.074,0.9188,0,0.39399,221.88363,1.1,0.606807293,10,0.601,-9.612,1,0.625,212.886,0.605,0.13353,118.096,4,0.421,0,0
SOTUHSG12A8AE474EA,AR039B11187B9B30D0,233357,0,0,0.629,0.53007,0.629,0.53007,115.12118,0.792,-1,11,0.287,-26.589,0,0.458,105.709,0.003,0.53007,117.971,1,0.034,0,0
SORWSBE12A58A7CA8D,AR3EVEE1187B9994B7,186308,0,0,0.032,0.83523,0.576,0.32121,283.68934,0,-1,8,0.553,-9.787,1,0.618,272.771,0.386,0.32121,119.029,4,0.84,0,2003
SOYXBLH12A8AE45E74,AR0O3AV1187FB4D030,145353,0,1,0.196,2.704,0,0.44662,179.09506,0,0.608932946,4,0,-5.439,0,0.081,179.095,0.487,0.07363,110.791,5,0.361,0,1992
SOBKGSR12AB0184A57,ARHL8SP1187B98F8A3,803175,0,2,0.917,0.27846,0.917,0.27846,171.07546,0.107,0.748424605,10,0.217,-2.388,1,0.118,168.472,0,0.27846,113.198,1,0.109,0,2010
SOMUWHH12AB0188A46,ARDMKKB1187B9A0EDA,644805,0,0,0.017,0.94131,1,0.46853,430.0273,0,-1,1,0.529,-10.868,0,0.494,412.177,1,0.23095,125.983,4,0,0,0
SOTFQLY12A8C13AD51,AR9AWNF1187B9AB0B4,299678,0,1,0.049,0.44692,0.576,0.44692,285.98812,3.199,-1,4,0.222,-12.853,0,0.264,272.893,0.095,0.44692,84.825,4,0.874,0,1986
SOGYLEI12AC4689F43,ARK0VFZ1187FB4309B,688694,0,0,0.084,1.12126,0.718,0.55795,314.30485,0.23,0,8,0.405,-5.74,1,0.568,310.66,0.977,0.2731,103.8,3,1,0,0
SOZXZIL12AB0189931,AR8VZW31187B9B7217,559297,0,0,0.316,0.87368,0.874,0.31765,149.39383,0.102,-1,9,0.166,-17.604,1,0.191,144.231,0.342,0.17759,214.424,3,0.644,0,0
SOCVPCD12AB018E260,ARN5MQ11187B98A12D,764939,0,0,0.106,0.83657,0.639,0.30617,217.52118,2.653,-1,2,0.601,-11.743,1,0.709,205.125,0.166,0.17274,111.442,4,0.444,0,0
SODPOTV12AB0187285,AR2WUJP1187B99364C,588920,0,0,0.128,1.53653,0.727,0.58438,218.27873,2.734,-1,9,0.636,-9.462,0,0.749,206.948,0.202,0.34574,126.282,4,0.48,0,0
SOFHNRX12AC3DF678C,ARNNPJM1187FB3DB37,776059,0,0,0.137,0.58273,1,0.1285,151.92771,0.286,0,7,0.363,-14.36,0,0.421,146.332,0.917,0.1285,144.49,4,0.169,0,0
SOXLPKH12A8C13E7FC,ARCEAJY1187FB4DF61,237387,0,0,0.414,0.44246,0.618,0.12427,159.42485,0.208,-1,7,0.508,-7.128,1,0.569,155.034,0.573,0.12427,190.631,4,0,0,1995
SOTCFPV12A8C13CE08,ARDINVM1187B98A6C1,299890,0,1,0.11,0.65879,1,0.16854,224.39138,0.386,0.513517029,3,0.086,-10.322,1,0.341,210.042,1,0.16854,122.503,4,1,0,1989
SOHOXPI12A81C21566,ARLTX751187B9A1828,200748,0,0,0.963,0.24665,0.963,0.24665,198.81751,0.349,0.636287224,7,0.72,-8.482,1,0.757,188.151,0.237,0.24665,96.534,1,0,0,2000
SOUHJKU12AB017DF67,ARH6W4X1187B99274F,404997,0,5,0.277,0.34901,0.742,0.34901,250.8273,0.293,0.607036691,2,1,-14.748,1,0.926,236.199,0.475,0.10202,122.428,4,0.763,0,1993
SOGOPDF12A8C1356A9,ARP7ILI1187B9AE9F7,256775,0,1,0.394,0.86902,0.523,0.19857,169.84771,0.09,0,4,0.505,-4.373,0,0.409,166.83,0.224,0.03262,179.51,4,0.764,0,2008
SOJONVF12AB01866C3,AROIHOI122988FEB8E,637025,0,0,0.038,2.56458,0.674,0.42225,195.70893,0,-1,1,0.497,-9.279,1,0.458,192.279,0.525,0.1716,81.65,5,0.657,0,0
SOAQVPX12AB017F938,AR6HEHH1187B9985F9,544063,0,0,0.032,0.72153,0.237,0.29754,145.76281,2.966,-1,2,0.246,-19.61,0,0.411,139.343,0.237,0.29754,142.657,4,0.774,0,0
SOIWOPZ12A8C135EBA,AR12F2S1187FB56EEF,285396,0,1,0,0.34165,0,0.34165,217.23383,3.28,0.443291312,11,0.587,-11.719,1,0.421,211.54,0.301,0.14583,148.358,1,0.051,0,0
SOXFPBO12A8C13BBBF,ARSCJQW1187B9B3523,212135,0,0,0,0.04937,0,0.04937,143.5424,0,0.445454526,6,0.312,-6.351,0,0.274,139.813,0.605,0.04937,118.947,1,0,0,0
SOJFJVJ12A8C139F83,AR01VU31187B997DA0,160397,0,1,0.032,0.8091,1,0.29395,217.73016,0.241,0,2,0.697,-5.791,1,0.691,205.793,0.92,0.0454,114.934,4,0.838,0,0
SOZKXKY12AB018039F,ARP8TSJ1187FB54852,624029,0,0,0.613,0.60441,0.613,0.60441,233.58649,0.398,0,9,0.692,-17.08,0,0.522,217.391,0.232,0.40004,147.51,1,0,0,0
SOUOQFE12A8C13C240,ARDG6IY1187B9AAE87,300416,0,0,0.004,1.79505,0.892,0.4464,187.92444,0.363,-1,9,0.859,-6.318,0,0.408,181.214,0.463,0.4464,89.881,4,0.94,0,0
SOQIBCH12A8C142CE5,AR4SOKG1187B98D2B0,524634,0,2,0.249,0.60745,0,0.21873,231.96689,2.432,-1,7,0.528,-6.051,1,0.642,225.408,0.822,0.21873,160.24,4,0.887,0,0
SOBYVWD12AB0185ACD,ARWUK9L11C8A42C37B,470948,0,0,0.462,0.09455,0.462,0.09455,349.6224,7.564,0,0,0.794,-6.581,1,0.573,349.622,0.068,0.09455,122.858,1,0,0,2007
SOFVXXK12A8C135404,ARVVLMQ11F4C8456E4,253395,0,0,0.104,1.00921,0.793,0.60177,230.71302,0,-1,2,0.581,-6.467,1,0.937,203.552,0.684,0.40104,150.08,4,0,0,0
SOAWAPM12A6D4FB56A,AROGN2E1187B98D292,225448,0,0,0.115,0.55525,0,0.21663,353.07057,0,0.458482812,1,0.355,-5.756,1,0.276,353.071,0.635,0.04689,177.876,4,0,0,1999
SOGMOAM12AB0189876,ARBX0VO1187B98A412,759660,0,0,0.089,0.67807,0.924,0.2008,441.52118,0.16,0.313941331,2,0.894,-10.155,1,0.792,424.083,0.696,0.2008,138.831,4,0,0,1983
SOEFIPZ12AB01836DE,ARBY23A1187B9A82E4,445155,0,0,0.053,2.04341,0.832,0.66363,247.562,0,-1,9,0.493,-13.749,1,0.445,243.368,0.5,0.146,87.03,3,0.635,0,0
SOSLDZO12AB0186A26,ARIT9Y51187FB364AE,453232,0,1,0.042,0.61758,0.85,0.24103,240.32608,0.357,0.485722716,7,1,-11.518,1,0.818,231.3,0.361,0.05551,165.53,3,0.559,0,0
SOLSWGZ12AB0183E38,ARQRDOM1264D13A4E5,705424,0,0,0.153,0.99064,0.767,0.32789,271.3073,0.142,0.266955186,2,0.384,-9.698,1,0.363,266.257,0.398,0.16475,177.958,3,0.985,0,2010
SOXHJSF12A8151C96E,AR7DFJP1187B992F13,496603,0,1,0.021,0.94101,0.888,0.44699,183.64036,0.144,0.652436655,7,0.779,-12.055,0,0.639,170.04,0.802,0.19998,123.278,3,0.563,0,2006
SOFKRIR12AB017CFE4,ARVQ4QM1187B98AD95,401201,0,0,0.096,0.91113,1,0.07786,119.58812,0,-1,3,0.668,-14.441,1,0.628,119.588,1,0.07786,140.151,3,0.941,0,0
SOFNMLB12AB0183FF8,ARKFYS91187B98E58F,630476,0,0,0.073,0.73913,0.967,0.26025,279.84934,0.194,-1,1,0.798,-13.04,1,0.811,270.669,0.259,0.26025,122.023,4,1,0,0
SOZFJWK12AB01852DC,ARGSJW91187B9B1D6B,538683,0,0,0.065,0.48185,1,0.48185,251.01016,0.13,-1,7,0.013,-5.536,1,0.224,242.312,1,0.23121,117.416,4,0.984,0,0
SOXPMCW12AB017D2D6,ARJ45SE1187FB44AD1,739944,0,1,0.146,1.36872,0.689,0.07731,246.04689,0.264,0.627202596,2,0.266,-3.263,1,0.348,239.102,0.64,0.07731,140.238,7,0.837,0,2009
SOJRKRL12AB018C221,ARO1D981187B9A0D24,811989,0,0,0.033,1.31487,0,0.29113,167.28771,0,0,6,0.26,-12.287,0,0.392,167.288,0.853,0.29113,118.029,4,0,0,0
SOOMSZH12AB0189A6F,ARJDMBO1187B9AD118,704388,0,0,1,0.23624,1,0.23624,202.03057,0.171,-1,0,0.702,-13.637,1,0.71,195.042,0.59,0.23624,136.72,1,0,0,2007
SODPMFZ12A8C135E5A,AR5LZJD1187FB4C5E5,92560,0,0,0.111,0.36848,1,0.36848,203.78077,3.053,0.521659258,1,0.646,-3.092,1,0.43,194.508,0.161,0.36848,132.021,4,0.458,0,2007
SOOJGLP12A58A78410,ARUBX2Y1187B99CD25,568482,0,0,0.094,2.0243,0.769,0.54424,224.65261,0.345,-1,10,0.421,-9.58,0,0.355,215.922,1,0.17461,81.936,3,1,0,0
SOGOISU12AAF3B27B1,ARYFXQ21187FB4DAEF,323415,0,1,0.014,0.43744,0.795,0.43744,307.09506,0.392,-1,5,0.501,-12.995,1,0.343,303.38,0.713,0.43744,211.806,4,0.298,0,2002
SOOBOKE12A8C136227,AR050VJ1187B9B13A7,144927,0,2,0.972,0.19521,0.972,0.19521,182.04689,0.142,0.798895653,5,0.692,-4.058,1,0.448,174.533,0.399,0.06039,223.62,1,0,0,1979
SOUOWOU12AC3DF4CB6,ARLJWTL1187B98C0DE,777245,0,1,0.418,0.99276,0.772,0.22693,260.62322,0,0.800078986,7,0.026,-12.502,1,0.239,241.29,0.284,0.22693,142.857,4,0.419,0,1976
SODIWEO12AB018479E,ARIF3EV1187B9B8522,635227,0,0,0.034,0.68527,1,0.28963,453.58975,0.147,0,11,0,-7.49,0,0.038,432.744,0.109,0.0918,144.005,4,0,0,0
SOFZBXX12AB0181731,ART6QCS1187FB40CBD,511811,0,0,0.002,1.18569,0.868,0.26578,205.37424,0,0.48456253,0,0.372,-5.634,1,0.349,205.374,0.377,0.03384,133.821,4,0.334,0,2004
SOIXEBH12A6D4FD17E,ARMOHN71187FB3959F,128106,0,0,0.386,0.76776,0.274,0.36423,267.17995,0,-1,0,0.402,-4.6,0,0.446,257.387,0.025,0.16544,151.64,4,0.611,0,2004
SOCLDAW12A8C144BEC,ARQCHDN1187FB4C7C2,374550,0,1,0.029,0.33722,0.493,0.33722,141.40036,0.24,0.323112121,2,0.345,-15.263,0,0.103,135.872,0.528,0.33722,194.099,4,0.548,0,2005
SOFLBQJ12A8C1334BF,AR4R84C1187FB3EC16,146240,0,0,0.077,1.96561,0.665,1.96561,255.39873,1.576,-1,7,0.748,-18.623,1,0.62,247.293,0.066,1.72948,121.871,3,0.677,0,1996
SOAFHVT12A8C141A9F,AR84AQE1187B98AD9C,174657,0,0,0.056,1.43197,1,0.16995,184.78975,0.403,0.249065795,0,0.464,-14.727,1,0.513,179.078,1,0.16995,95.666,4,0.979,0,0
SORZHJO12A8C1338F3,ARC18161187FB4CF4B,282390,0,0,0.011,0.93543,0.931,0.20535,248.5024,0.16,0,0,0.707,-8.183,1,0.614,243.542,0.931,0.20535,165.967,4,0.983,0,2000
SOVKZIU12AB0180A2D,ARDY3451187B9A0226,644939,0,0,0.076,1.92996,0.988,0.84291,125.77914,0.461,0.473346541,11,0.132,-12.945,1,0.559,116.895,0.168,0.60868,120.689,3,1,0,1995
SONJBUC12A6D4F92A2,ARJ4B7V1187FB4CB90,176238,0,0,0.044,0.78523,1,0.04887,53.21098,0.427,-1,1,0,-14.853,1,0,53.211,0.612,0.04887,97.075,7,0.49,0,1998
SOQGLWB12AF72A632B,ARIMZQZ1187B9AD541,342901,0,0,0.45,2.9738,0.686,0.06866,329.7171,0,0.838286675,9,0.585,-9.458,0,0.541,324.493,0.563,0.06866,126.947,7,0.957,0,2005
SOJXNPU12A8C13170B,ARHJMEF1187FB415AE,283541,0,1,0.084,0.6802,1,0.18389,291.13424,0.389,0.439202489,2,0.635,-8.978,1,0.813,270.565,1,0.18389,122.754,4,1,0,1983
SORGLXE12A8C1355FF,AR3752L1187FB4B67E,192864,0,1,0.105,0.82912,0.934,0.82912,256.15628,4.371,-1,4,0.911,-8.549,1,0.633,248.866,0.521,0.54228,124.616,4,0.572,0,0
SOOQCSS12AB0182A99,AR1N3PB1187B9B25C1,422711,0,0,0.07,4.19395,0.383,0.09332,271.59465,0,0.327736683,4,0.681,-10.747,1,0.637,267.401,0.588,0.09332,76.908,7,0.485,0,0
SOBYWCK12A58A7C5C0,AR7XK9K1187B9B1864,244917,0,0,0.239,0.44569,0.919,0.44569,420.07465,0.374,-1,9,0.608,-10.017,0,0.564,401.415,0.802,0.09409,84.518,4,0.9,0,2007
SOQDQTD12A8C145BE5,ARYKFVV1187FB3CA6B,378996,0,0,0.117,1.71666,0.098,0.41409,162.0371,0.077,-1,5,0.599,-22.102,1,0.525,151.975,0.098,0.41409,92.26,5,1,0,0
SOAEAQO12AB0184ACE,AREY3RN1187B993C5F,667161,0,0,0.314,1.18861,0.479,0.12753,205.63546,0.206,0.419674279,1,0.589,-8.644,1,0.584,205.635,0.019,0.12753,113.557,4,0.712,0,2000
SOOPVJI12AB0183957,ARVN9FZ1187FB393F1,623494,0,1,0.242,1.94403,0.627,1.94403,284.1073,3.419,0.94599468,9,0.597,-5.519,1,0.574,268.945,0.057,1.65945,107.998,4,0.384,0,2009
SOBHMQL12A67ADE30A,AR9AM2N1187B9AD2F1,66828,0,2,0.004,0.80114,0.954,0.26988,283.32363,0.234,0.561428518,2,0.834,-4.422,1,0.694,272.01,1,0.26988,113.608,4,1,0,1990
SOKUJAQ12A8AE46C1B,ARSPQ0H1187B999944,234871,0,1,0.157,0.77271,1,0.04254,318.37995,0.479,-1,2,0.695,-11.164,1,0.328,305.337,0,0.04254,86.833,3,1,0,1997
SOQMRDA12AB018A86C,AR16NGV1187FB5B8BC,763479,0,0,0.026,1.04646,0.652,0.2742,181.15873,0,0,8,0.107,-6.305,1,0.297,172.275,0.545,0.07992,154.637,4,0.042,0,0
SOMBYVD12AB01884BE,AR1206S1187B9AF3EA,575281,0,0,0.037,0.25555,0.824,0.25555,169.482,0.189,-1,3,0,-20.754,1,0.057,164.838,0.469,0.25555,210.636,3,0.588,0,0
SOWRMRV12A8C13E406,ARJ6GR01187B98D64D,303735,0,0,0.005,0.6745,1,0.6745,245.7073,0.303,0.304169503,9,0.561,-7.786,1,0.445,230.586,1,0.34753,92.025,3,0,0,1997
SODSJMD12A58A79533,AROLNOH1187FB39845,285051,0,1,0.425,0.2722,0.799,0.2722,187.42812,2.595,0.594679449,6,0.006,-8.821,1,0.227,187.428,0.526,0.2722,88.878,4,0.932,0,0
SOFKBNW12A8C13E536,ARX5XTP1187FB3D8CC,110112,0,0,0.019,1.22824,0.6,0.58877,249.18159,0,-1,4,0.346,-7.423,0,0.217,246.149,0.991,0.2633,92.972,4,0.912,0,0
SOJEUHQ12A6D4FC92D,ARZCTTD1241B9CD9DD,177276,0,0,0.355,1.2257,0.705,0.59969,252.55138,0,0.270746494,8,0.332,-8.669,1,0.517,241.215,0,0.28699,95.061,4,0.415,0,0
SOMWYRR12A8C143501,ARNFTGS1187B9A465F,611163,0,1,1,0.05118,1,0.05118,88.89424,0.361,0.779527168,1,0.197,-7.545,1,0.525,85.269,0.536,0.05118,156.605,1,0,0,1980
SOQLNEY12B0B8062FA,ARM0P6Z1187FB4D466,443784,0,2,0.094,0.74802,0.353,0.3298,141.13914,0.073,-1,1,0.043,-4.526,1,0.793,138.797,0.797,0.12121,144.955,4,0.619,0,2004
SOTRCOC12A6D4F868C,ARGUVEV1187B98BA17,270297,0,0,0.881,0.56656,0.881,0.56656,318.56281,0.223,0,2,0.792,-10.11,0,0.793,313.162,1,0.28694,117.766,1,0,0,1994
SOGPNMB12A8C141375,ARSZIBW1187B994053,314532,0,1,0.285,0.74472,0,0.23576,54.96118,0.304,0.433005077,2,0.653,-37.456,0,0.661,54.961,0,0.23576,189.037,3,0.366,0,1999
SOLQIRG12A8AE47400,ARHB1961187B9B1732,785963,0,0,0.041,0.94161,0.041,0.94161,231.33995,0,0.240473746,0,0.659,-10.258,1,0.41,223.806,0.578,0.73673,59.957,1,0,0,0
SOPHADT12A8C14245D,ARBXVFV1187B99AA63,375621,0,1,0.009,0.67197,0.849,0.22655,112.06485,0.148,-1,0,0.253,-11.603,0,0.22,112.065,0.793,0.22655,140.148,4,0.197,0,0
SOEPOUR12A58A7839C,ARPFKK81187B99878D,238210,0,0,0.389,0.9722,0.214,0.25325,147.82649,0,-1,0,0.732,-15.965,1,0.594,143.331,0.563,0.07527,168.879,4,0.736,0,0
SOOCPZM12A8C1379F0,ARJSPWK12454A4CB28,92906,0,0,0.158,1.18735,0.362,0.34745,272.95302,0.395,-1,5,0.314,-10.267,1,0.443,264.748,0,0.13718,147.395,4,0,0,0
SODLJKB12AB01871D6,ARPKLK81187FB42AC9,715262,0,0,0.043,1.36538,0.776,0.18917,258.29832,0.131,0.266955186,3,0.659,-7.009,0,0.715,255.57,0.89,0.18917,102.126,4,0.982,0,2006
SOBHLPN12AB01822EB,ARYYCVC1187B9A8510,443467,0,0,0.988,0.46067,0.988,0.46067,195.70893,0.323,-1,11,0.612,-21.782,0,0.475,190.92,0.929,0.46067,75.316,1,0.107,0,2007
